Iteration No,Rb,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,Rd,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,Io,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,W,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,C1,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,C2,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,Rb,1.5661357719299835e-05,0.0,0.0,0.000277446166072009,0.0,-0.0002617848083527113,Rd,0.0010527066357376178,0.0,0.0,0.0011634221411945041,0.0,-0.00011071550545688198,Io,339.4317297036666,0.0,0.0,0.0,0.0,339.4317297036666,W,89.69979411732126,0.0,0.0,0.0,0.0,89.69979411732126,C1,0.0,0.0,0.0,0.0,0.0,0.0,C2,-2005863596.4435177,0.0,0.0,0.0,0.0,-2005863596.4435177,
2,Rb,-0.00027857848669733746,0.0,0.0,0.0,-6.1721325886488965e-06,-0.0002724063541086886,Rd,-0.0010517832531523367,0.0,0.0,0.0,-0.0009425194821729289,-0.00010926377097940783,Io,49.417373666407734,0.0,0.0,0.0,-285.2746236987314,334.6919973651391,W,-379.12349074072387,0.0,0.0,0.0,-481.13474509014884,102.01125434942496,C1,103895004.58535501,0.0,0.0,0.0,103895004.58535501,0.0,C2,-989720849.7641251,0.0,0.0,0.0,952269483.9667251,-1941990333.7308502,
3,Rb,-5.384124573987443e-05,0.0,0.0,0.00022772732337118462,-1.722307487679664e-05,-0.00026434549423425924,Rd,0.0007056438904132605,0.0,0.0,0.001088700954519868,-0.00027256969549754927,-0.00011048736860906703,Io,269.4518467252672,0.0,0.0,0.0,-68.84497174603771,338.29681847130496,W,-340.89071335953827,0.0,0.0,0.0,-433.1258305257601,92.23511716622181,C1,103274445.65430462,0.0,0.0,0.0,103274445.65430462,0.0,C2,-1037195929.6993685,0.0,0.0,0.0,954951318.5325016,-1992147248.2318702,
4,Rb,-0.00028439780885691925,0.0,0.0,0.0,-1.8209405689315513e-05,-0.00026618840316760373,Rd,-0.0007739790694016436,0.0,0.0,0.0,-0.0006628481007029398,-0.0001111309686987038,Io,172.87500790581566,0.0,0.0,0.0,-165.57728709160958,338.45229499742527,W,-371.92405569133916,0.0,0.0,0.0,-464.2799871676594,92.35593147632021,C1,102653578.95589516,0.0,0.0,0.0,102653578.95589516,0.0,C2,-1041743609.0850917,0.0,0.0,0.0,955350655.1063359,-1997094264.1914275,
5,Rb,-0.0002617893395457475,0.0,0.0,0.0,0.0,-0.0002617893395457475,Rd,0.0001937577126871935,0.0,0.0,0.00030555544535520844,0.0,-0.0001117977326680091,Io,340.2182661355276,0.0,0.0,0.0,0.0,340.2182661355276,W,87.31463896786492,0.0,0.0,0.0,0.0,87.31463896786492,C1,0.0,0.0,0.0,0.0,0.0,0.0,C2,-2027653685.9121366,0.0,0.0,0.0,0.0,-2027653685.9121366,
6,Rb,-0.00025086042144270625,0.0,0.0,2.8677956152352745e-05,-1.1399487570561235e-05,-0.0002681388900244935,Rd,-0.0002262255161202621,0.0,0.0,0.0008102576380902762,-0.0009265837143080061,-0.00010989943990253519,Io,92.72753389966547,0.0,0.0,0.0,-243.79069945455242,336.5182333542179,W,-363.0484402623937,0.0,0.0,0.0,-481.4039778127397,118.35553755034603,C1,103945513.9218287,0.0,0.0,0.0,103945513.9218287,0.0,C2,-1019325059.6667775,0.0,0.0,0.0,952618892.6051898,-1971943952.2719674,
7,Rb,-0.00026262432001399126,0.0,0.0,0.0,0.0,-0.00026262432001399126,Rd,0.0005849150208868462,0.0,0.0,0.0006959508090595354,0.0,-0.00011103578817268778,Io,339.3464404384811,0.0,0.0,0.0,0.0,339.3464404384811,W,88.89746497427026,0.0,0.0,0.0,0.0,88.89746497427026,C1,0.0,0.0,0.0,0.0,0.0,0.0,C2,-2015275236.679838,0.0,0.0,0.0,0.0,-2015275236.679838,
8,Rb,-0.00027554173507123833,0.0,0.0,0.0,-5.858941571366484e-06,-0.00026968279349987186,Rd,-0.0004986970139682812,0.0,0.0,0.000548936650934272,-0.0009384628939975333,-0.0001091707709050242,Io,50.495604501727236,0.0,0.0,0.0,-284.98613804349026,335.4817425452175,W,-353.0565016015315,0.0,0.0,0.0,-451.42839330038777,98.37189169885622,C1,103962459.80334303,0.0,0.0,0.0,103962459.80334303,0.0,C2,-1001498052.5350553,0.0,0.0,0.0,959026862.8927184,-1960524915.4277737,
9,Rb,-0.000236434156791727,0.0,0.0,4.1914193790648146e-05,-1.607504591398805e-05,-0.00026227330466838816,Rd,0.0006714812524227914,0.0,0.0,0.0008452867331174403,-6.339650498378339e-05,-0.00011040897571085966,Io,323.17362711397635,0.0,0.0,0.0,-15.897857137037793,339.0714842510141,W,-10.171540773715328,0.0,0.0,0.0,-99.23454413427497,89.06300336055965,C1,103341497.9655636,0.0,0.0,0.0,103341497.9655636,0.0,C2,-1045778507.524885,0.0,0.0,0.0,966282893.5867862,-2012061401.1116712,
10,Rb,-0.00027873493831246645,0.0,0.0,0.0,-1.58664503347056e-05,-0.0002628684879777608,Rd,-0.0008297531352959996,0.0,0.0,0.0,-0.0007191846160879016,-0.00011056851920809792,Io,160.54013260461247,0.0,0.0,0.0,-178.8109749730824,339.3511075776949,W,-348.5243454608738,0.0,0.0,0.0,-437.43741207362103,88.91306661274729,C1,103358242.00076775,0.0,0.0,0.0,103358242.00076775,0.0,C2,-1042107476.8883948,0.0,0.0,0.0,973547774.4615868,-2015655251.3499818,
11,Rb,-0.0002589373029589225,0.0,0.0,0.0,0.0,-0.0002589373029589225,Rd,0.0003909202228374916,0.0,0.0,0.0005022642841433851,0.0,-0.00011134406130590082,Io,340.8776181537855,0.0,0.0,0.0,0.0,340.8776181537855,W,84.05811738416438,0.0,0.0,0.0,0.0,84.05811738416438,C1,0.0,0.0,0.0,0.0,0.0,0.0,C2,-2047607930.7623854,0.0,0.0,0.0,0.0,-2047607930.7623854,
12,Rb,-0.00027392192088107587,0.0,0.0,0.0,-9.041972228490386e-06,-0.0002648799486525855,Rd,-0.00036410368760973885,0.0,0.0,0.0006820682450986838,-0.0009367159031423379,-0.00010945602956607594,Io,59.69742011086491,0.0,0.0,0.0,-277.81818720274094,337.51560731360587,W,-347.7014768037921,0.0,0.0,0.0,-440.1538926013497,92.45241579755756,C1,103374988.74837837,0.0,0.0,0.0,103374988.74837837,0.0,C2,-1020603615.406511,0.0,0.0,0.0,970806930.500172,-1991410545.906683,
13,Rb,-0.0002581831546629274,0.0,0.0,0.0,0.0,-0.0002581831546629274,Rd,0.0005935261940141777,0.0,0.0,0.0007041522126924688,0.0,-0.00011062601867829251,Io,340.7458102234775,0.0,0.0,0.0,0.0,340.7458102234775,W,103.35140995833716,0.0,0.0,0.0,0.0,103.35140995833716,C1,0.0,0.0,0.0,0.0,0.0,0.0,C2,-2043903290.9921806,0.0,0.0,0.0,0.0,-2043903290.9921806,
14,Rb,-0.0003232863070091783,-5.29424063257719e-05,0.0,0.0,-6.029078962632713e-06,-0.0002643148217207705,Rd,-0.0005950322810574448,-8.9240860824095e-05,0.0,0.0005486009349378278,-0.0009456375460424268,-0.00010875480912874489,Io,28.020864387629448,-22.396640802131074,0.0,0.0,-286.9757578160731,337.3932630058359,W,-483.257488403119,-126.49911909926955,0.0,0.0,-470.5150161621979,113.75664685836219,C1,-466283974.9162818,-570313933.7325188,0.0,0.0,104029958.81629369,0.0,C2,-598193354.9334093,410972533.9240571,0.0,0.0,979484539.1831003,-1988650428.0405664,
15,Rb,-6.042969595215299e-05,0.0,0.0,0.00019655006658409152,0.0,-0.0002569797625362456,Rd,0.0009606469504097302,0.0,0.0,0.0010706835355482665,0.0,-0.00011003658513853339,Io,340.7512949036348,0.0,0.0,0.0,0.0,340.7512949036348,W,83.38270165596494,0.0,0.0,0.0,0.0,83.38270165596494,C1,0.0,0.0,0.0,0.0,0.0,0.0,C2,-2046519640.9531744,0.0,0.0,0.0,0.0,-2046519640.9531744,
