Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,0.0009419105,10.011967,11.33592,7.011967,10.96662,50000000.0,2000000000.0,4.970354878917107,-15.0676,-67.9638,-87.6749,-6.674489999999999e-07,4.6476484035760866,4.025456,0.003866373,0.01878202,0.05330636,0.7130677,0.7461633,0.3457409,
2,0.0009490258,10.084351,11.40394,7.084351,11.03283,50000000.0,2000000000.0,5.198729657856504,-15.022,-67.8949,-87.571,-6.70063e-07,4.57545148471795,4.002764,0.003903918,0.01891083,0.05337851,0.7173489,0.7418647,0.3485381,
3,0.0009520258,10.033503,11.38137,7.033503,11.01377,50000000.0,2000000000.0,5.1814718756113365,-15.0859,-67.9347,-87.6129,-6.66308e-07,4.592029553372599,4.006666,0.003915453,0.01897,0.05336712,0.7173481,0.7430557,0.3486612,
4,0.000956194,10.083848,11.42719,7.083848,11.05622,50000000.0,2000000000.0,5.320139212880676,-15.0518,-67.888,-87.5484,-6.68153e-07,4.547153908940681,3.991975,0.003937607,0.01904918,0.05343019,0.7199892,0.7402663,0.3503468,
5,0.0009461581,10.05659,11.3794,7.05659,11.00577,50000000.0,2000000000.0,5.087563763918411,-15.0324,-67.921,-87.6109,-6.686899999999999e-07,4.600321641199532,4.009744,0.003888846,0.01887231,0.05331392,0.7157612,0.7435675,0.3477306,
6,0.0009528138,10.074477,11.40955,7.074477,11.03718,50000000.0,2000000000.0,5.241450888342953,-15.037,-67.8995,-87.5642,-6.68092e-07,4.560872530135994,3.996649,0.003922231,0.01899431,0.05336537,0.7193421,0.7413961,0.3502095,
7,0.0009431192,10.021917,11.34531,7.021917,10.97198,50000000.0,2000000000.0,4.988524335813821,-15.0422,-67.954,-87.6509,-6.67006e-07,4.626883217678493,4.0181,0.003874398,0.01882368,0.0532472,0.7151623,0.7455555,0.3477039,
8,0.0009505859,10.059087,11.39036,7.059087,11.01757,50000000.0,2000000000.0,5.182116811077037,-15.0313,-67.9152,-87.581,-6.67382e-07,4.572894555265881,4.00064,0.003912681,0.01895924,0.05331572,0.7194763,0.7424944,0.3506298,
9,0.0009515691,10.008397,11.35979,7.008397,10.99029,50000000.0,2000000000.0,5.137936371516403,-15.083,-67.9571,-87.6275,-6.64098e-07,4.596175253874595,4.007203,0.003915946,0.01897873,0.05330707,0.7195893,0.7441303,0.3508735,
10,0.0009561557,10.061838,11.40791,7.061838,11.03663,50000000.0,2000000000.0,5.295765489084914,-15.0443,-67.9069,-87.5527,-6.66155e-07,4.5456145197585105,3.991321,0.003939987,0.01906318,0.05334636,0.7223683,0.7411156,0.352707,
11,0.0009461696,10.021779,11.3516,7.021779,10.97846,50000000.0,2000000000.0,5.049863432067426,-15.0374,-67.9509,-87.628,-6.658949999999999e-07,4.605679547039994,4.011116,0.003891282,0.01888725,0.05322795,0.7180983,0.7448571,0.3501012,
12,0.0009535655,10.05098,11.39286,7.05098,11.022,50000000.0,2000000000.0,5.230422441092614,-15.0367,-67.9178,-87.5702,-6.65957e-07,4.558865652769047,3.995331,0.003928969,0.01902341,0.05332448,0.7224455,0.7421568,0.3530046,
13,0.0009437466,9.997766,11.32786,6.997766,10.95605,50000000.0,2000000000.0,4.975459135432317,-15.0423,-67.973,-87.6581,-6.648679999999999e-07,4.625804077421377,4.017139,0.003880764,0.01885021,0.05320631,0.7181991,0.7463323,0.3504484,
14,0.0009517979,10.047550000000001,11.37888,7.04755,11.00722,50000000.0,2000000000.0,5.189716477807295,-15.0228,-67.9276,-87.5766,-6.65469e-07,4.563968528857552,3.997233,0.003922202,0.01899768,0.05327423,0.7231392,0.7429052,0.3538533,
15,0.0009427375,9.970030000000001,11.30226,6.97003,10.93121,50000000.0,2000000000.0,4.914294044454422,-15.0607,-68.0023,-87.6904,-6.62879e-07,4.6442698545258425,4.022616,0.003875466,0.01883884,0.05315361,0.717976,0.7477661,0.3506153,
