Iteration No,fo,f_lower,f_upper,Io,W,Rb,Rd,Rbias,C1,C2,Temp,
1,1000000000.0,100000000.0,2000000000.0,0.0009384101687503416,8.43177639259142e-05,206.7382480673973,347.84980475373305,1000,1.857234735169415e-11,1.0594019960655889e-11,27,
2,1000000000.0,100000000.0,2000000000.0,0.0010024285104624929,8.570338584643005e-05,203.53966280604791,331.7234878053501,1000,1.913818486767576e-11,1.0593119468959272e-11,27,
3,1000000000.0,100000000.0,2000000000.0,0.0010627579996504964,8.74591625444706e-05,201.2098121324613,316.9811431348002,1000,1.975280767470111e-11,1.059341960734422e-11,27,
4,1000000000.0,100000000.0,2000000000.0,0.0011192010770119326,8.949564914431856e-05,207.51673369375294,327.30046424955316,1000,1.979260958216567e-11,1.05877521278543e-11,27,
5,1000000000.0,100000000.0,2000000000.0,0.001172754848546949,9.15442045532318e-05,213.56895923193122,336.8723663265306,1000,1.9831699986090373e-11,1.0581928864183964e-11,27,
6,1000000000.0,100000000.0,2000000000.0,0.001165405584829387,9.073861555316337e-05,205.11162844634634,308.9344180791839,1000,1.9844921119414433e-11,1.0593216254972454e-11,27,
7,1000000000.0,100000000.0,2000000000.0,0.0012208381014717975,9.278341025465403e-05,211.08960685741542,318.5839846278874,1000,1.98462110392872e-11,1.058696625738204e-11,27,
8,1000000000.0,100000000.0,2000000000.0,0.0011174697394201803,9.24679466597882e-05,213.89498773255076,322.5503552365051,1000,1.98462110392872e-11,1.0628678904436126e-11,27,
9,1000000000.0,100000000.0,2000000000.0,0.0011714770519263586,9.449253235190433e-05,219.8006283438465,330.09964630081504,1000,1.9844921035569642e-11,1.0622035980120821e-11,27,
10,1000000000.0,100000000.0,2000000000.0,0.0011649167804355697,9.334602295936794e-05,211.27236396410504,302.8994354456278,1000,1.9858150982926642e-11,1.0633366151832954e-11,27,
11,1000000000.0,100000000.0,2000000000.0,0.0012209318038228115,9.54379073338871e-05,217.1024248476941,312.7224641371291,1000,1.985904459972082e-11,1.0626188629680455e-11,27,
12,1000000000.0,100000000.0,2000000000.0,0.001117555507993134,9.518881439574581e-05,220.078899092356,316.47826093141606,1000,1.985904459972082e-11,1.0669224693630684e-11,27,
13,1000000000.0,100000000.0,2000000000.0,0.0011720531023404186,9.729819852275575e-05,225.82075756967575,326.3935248463975,1000,1.9857356580929873e-11,1.0661649544098237e-11,27,
14,1000000000.0,100000000.0,2000000000.0,0.0011654896049673135,9.676630170416465e-05,217.11913104465722,299.3681409891163,1000,1.9867947171106396e-11,1.0671600417006056e-11,27,
15,1000000000.0,100000000.0,2000000000.0,0.0012218410273674822,9.883274607705715e-05,222.802224299751,309.2742327744455,1000,1.9868443869785656e-11,1.0663650074695366e-11,27,
16,1000000000.0,100000000.0,2000000000.0,0.0011185221500932877,9.849770306785585e-05,225.9459636846201,312.88964855557805,1000,1.9868443869785656e-11,1.0708010859006097e-11,27,
17,1000000000.0,100000000.0,2000000000.0,0.0011734024393876114,0.0001005218308659002,231.5539425032726,313.9247918095489,1000,1.98663576831793e-11,1.0699283830155975e-11,27,
18,1000000000.0,100000000.0,2000000000.0,0.001167613654019967,9.918153978768835e-05,223.1562528551539,288.7270951869692,1000,1.9884899617016968e-11,1.0709269828397472e-11,27,
19,1000000000.0,100000000.0,2000000000.0,0.0012250835980708308,0.00010134270553966202,228.65147558171213,298.8700780408871,1000,1.9885396739507374e-11,1.06996314855519e-11,27,
20,1000000000.0,100000000.0,2000000000.0,0.0011210740005946158,0.00010107820107820343,232.01036575800737,302.20247941104225,1000,1.9885396739507374e-11,1.0746816860403174e-11,27,
